exp,H,beta,m,V
371,0.01,4.71238898038469,1.1238,7.38947368421053
372,0.01,4.71238898038469,1.1238,7.76842105263158
373,0.01,4.71238898038469,1.1238,8.14736842105263
374,0.01,4.71238898038469,1.1238,8.52631578947368
375,0.01,4.71238898038469,1.1238,8.90526315789474
376,0.01,4.71238898038469,1.1238,9.28421052631579
377,0.01,4.71238898038469,1.1238,9.66315789473684
378,0.01,4.71238898038469,1.1238,10.0421052631579
379,0.01,4.71238898038469,1.1238,10.4210526315789
380,0.01,4.71238898038469,1.1238,10.8
381,0.01,4.71238898038469,1.3067,3.6
382,0.01,4.71238898038469,1.3067,3.97894736842105
383,0.01,4.71238898038469,1.3067,4.35789473684211
384,0.01,4.71238898038469,1.3067,4.73684210526316
385,0.01,4.71238898038469,1.3067,5.11578947368421
386,0.01,4.71238898038469,1.3067,5.49473684210526
387,0.01,4.71238898038469,1.3067,5.87368421052632
388,0.01,4.71238898038469,1.3067,6.25263157894737
389,0.01,4.71238898038469,1.3067,6.63157894736842
390,0.01,4.71238898038469,1.3067,7.01052631578947
391,0.01,4.71238898038469,1.3067,7.38947368421053
392,0.01,4.71238898038469,1.3067,7.76842105263158
393,0.01,4.71238898038469,1.3067,8.14736842105263
394,0.01,4.71238898038469,1.3067,8.52631578947368
395,0.01,4.71238898038469,1.3067,8.90526315789474
396,0.01,4.71238898038469,1.3067,9.28421052631579
397,0.01,4.71238898038469,1.3067,9.66315789473684
398,0.01,4.71238898038469,1.3067,10.0421052631579
399,0.01,4.71238898038469,1.3067,10.4210526315789
400,0.01,4.71238898038469,1.3067,10.8
401,0.03,1.5707963267949,0.7325,3.6
402,0.03,1.5707963267949,0.7325,3.97894736842105
403,0.03,1.5707963267949,0.7325,4.35789473684211
404,0.03,1.5707963267949,0.7325,4.73684210526316
405,0.03,1.5707963267949,0.7325,5.11578947368421
406,0.03,1.5707963267949,0.7325,5.49473684210526
407,0.03,1.5707963267949,0.7325,5.87368421052632
408,0.03,1.5707963267949,0.7325,6.25263157894737
409,0.03,1.5707963267949,0.7325,6.63157894736842
410,0.03,1.5707963267949,0.7325,7.01052631578947
411,0.03,1.5707963267949,0.7325,7.38947368421053
412,0.03,1.5707963267949,0.7325,7.76842105263158
413,0.03,1.5707963267949,0.7325,8.14736842105263
414,0.03,1.5707963267949,0.7325,8.52631578947368
415,0.03,1.5707963267949,0.7325,8.90526315789474
416,0.03,1.5707963267949,0.7325,9.28421052631579
417,0.03,1.5707963267949,0.7325,9.66315789473684
418,0.03,1.5707963267949,0.7325,10.0421052631579
419,0.03,1.5707963267949,0.7325,10.4210526315789
420,0.03,1.5707963267949,0.7325,10.8
421,0.03,1.5707963267949,0.9379,3.6
422,0.03,1.5707963267949,0.9379,3.97894736842105
423,0.03,1.5707963267949,0.9379,4.35789473684211
424,0.03,1.5707963267949,0.9379,4.73684210526316
425,0.03,1.5707963267949,0.9379,5.11578947368421
426,0.03,1.5707963267949,0.9379,5.49473684210526
427,0.03,1.5707963267949,0.9379,5.87368421052632
428,0.03,1.5707963267949,0.9379,6.25263157894737
429,0.03,1.5707963267949,0.9379,6.63157894736842
430,0.03,1.5707963267949,0.9379,7.01052631578947
431,0.03,1.5707963267949,0.9379,7.38947368421053
432,0.03,1.5707963267949,0.9379,7.76842105263158
433,0.03,1.5707963267949,0.9379,8.14736842105263
434,0.03,1.5707963267949,0.9379,8.52631578947368
435,0.03,1.5707963267949,0.9379,8.90526315789474
436,0.03,1.5707963267949,0.9379,9.28421052631579
437,0.03,1.5707963267949,0.9379,9.66315789473684
438,0.03,1.5707963267949,0.9379,10.0421052631579
439,0.03,1.5707963267949,0.9379,10.4210526315789
440,0.03,1.5707963267949,0.9379,10.8
441,0.03,1.5707963267949,1.1238,3.6
442,0.03,1.5707963267949,1.1238,3.97894736842105
443,0.03,1.5707963267949,1.1238,4.35789473684211
444,0.03,1.5707963267949,1.1238,4.73684210526316
445,0.03,1.5707963267949,1.1238,5.11578947368421
446,0.03,1.5707963267949,1.1238,5.49473684210526
447,0.03,1.5707963267949,1.1238,5.87368421052632
448,0.03,1.5707963267949,1.1238,6.25263157894737
449,0.03,1.5707963267949,1.1238,6.63157894736842
450,0.03,1.5707963267949,1.1238,7.01052631578947
451,0.03,1.5707963267949,1.1238,7.38947368421053
452,0.03,1.5707963267949,1.1238,7.76842105263158
453,0.03,1.5707963267949,1.1238,8.14736842105263
454,0.03,1.5707963267949,1.1238,8.52631578947368
455,0.03,1.5707963267949,1.1238,8.90526315789474
456,0.03,1.5707963267949,1.1238,9.28421052631579
457,0.03,1.5707963267949,1.1238,9.66315789473684
458,0.03,1.5707963267949,1.1238,10.0421052631579
459,0.03,1.5707963267949,1.1238,10.4210526315789
460,0.03,1.5707963267949,1.1238,10.8
461,0.03,1.5707963267949,1.3067,3.6
462,0.03,1.5707963267949,1.3067,3.97894736842105
463,0.03,1.5707963267949,1.3067,4.35789473684211
464,0.03,1.5707963267949,1.3067,4.73684210526316
465,0.03,1.5707963267949,1.3067,5.11578947368421
466,0.03,1.5707963267949,1.3067,5.49473684210526
467,0.03,1.5707963267949,1.3067,5.87368421052632
468,0.03,1.5707963267949,1.3067,6.25263157894737
469,0.03,1.5707963267949,1.3067,6.63157894736842
470,0.03,1.5707963267949,1.3067,7.01052631578947
471,0.03,1.5707963267949,1.3067,7.38947368421053
